Time,Strain,Stress,Calc Stress,Error
1.68482,0.168482,0.608014,0.752955,0.0568267
1.70531,0.170531,0.612136,0.760401,0.0586649
1.72516,0.172516,0.616289,0.767587,0.0602693
1.74547,0.174547,0.620109,0.774912,0.0623195
1.76516,0.176516,0.624138,0.781988,0.0639629
1.78564,0.178564,0.628556,0.789321,0.0654173
1.80506,0.180506,0.631301,0.796248,0.0682681
1.82476,0.182476,0.635959,0.803251,0.0691979
1.84495,0.184495,0.640181,0.810402,0.0707006
1.86541,0.186541,0.643833,0.817623,0.0728623
1.88497,0.188497,0.64716,0.824501,0.0750925
1.90494,0.190494,0.651553,0.831499,0.0762757
1.92492,0.192492,0.655063,0.838476,0.0783961
1.94542,0.194542,0.659153,0.845609,0.0800168
1.96531,0.196531,0.662899,0.852506,0.0818112
1.98504,0.198504,0.666876,0.859323,0.0832786
2.00524,0.200524,0.670404,0.866279,0.0853662
2.02578,0.202578,0.674904,0.873328,0.0864377
2.04547,0.204547,0.678646,0.880061,0.0880843
2.06549,0.206549,0.681907,0.886885,0.0903573
2.08575,0.208575,0.685998,0.893767,0.0917306
2.10557,0.210557,0.69001,0.900476,0.0930368
2.12587,0.212587,0.693281,0.907326,0.0953214
2.14566,0.214566,0.697009,0.913981,0.0969013
2.16556,0.216556,0.700674,0.920651,0.0985649
2.18518,0.218518,0.704256,0.927206,0.10022
2.20513,0.220513,0.70835,0.93385,0.101344
2.22555,0.222555,0.712137,0.940628,0.102946
2.24582,0.224582,0.716126,0.947334,0.104238
2.26591,0.226591,0.719496,0.953959,0.106192
2.28553,0.228553,0.723282,0.960409,0.107484
2.30554,0.230554,0.727093,0.966966,0.108838
2.32545,0.232545,0.730815,0.97347,0.110246
2.34521,0.234521,0.734597,0.979904,0.111512
2.36515,0.236515,0.738499,0.986377,0.112662
2.38537,0.238537,0.742403,0.992921,0.113867
2.40543,0.240543,0.746324,0.999392,0.11498
2.42531,0.242531,0.750385,1.00579,0.115845
2.44527,0.244527,0.75375,1.01219,0.117558
2.46543,0.246543,0.75863,1.01863,0.117459
2.48595,0.248595,0.762742,1.02517,0.118376
2.50541,0.250541,0.766035,1.03135,0.119959
2.52538,0.252538,0.769973,1.03768,0.120882
2.54503,0.254503,0.773818,1.04388,0.121804
2.56543,0.256543,0.778479,1.05031,0.121926
2.58568,0.258568,0.782423,1.05667,0.122853
2.60541,0.260541,0.786441,1.06284,0.123522
2.62544,0.262544,0.790697,1.06909,0.123967
2.64552,0.264552,0.795282,1.07534,0.12401
2.66511,0.266511,0.79892,1.08142,0.125035
2.68544,0.268544,0.803165,1.08771,0.125515
2.70549,0.270549,0.80804,1.0939,0.12515
2.72546,0.272546,0.81244,1.10004,0.125313
2.74558,0.274558,0.816943,1.10621,0.125378
2.76552,0.276552,0.82099,1.11231,0.125912
2.78534,0.278534,0.825694,1.11836,0.125631
2.80543,0.280543,0.830641,1.12447,0.125129
2.82545,0.282545,0.83553,1.13054,0.124667
2.84546,0.284546,0.840161,1.13659,0.124488
2.86547,0.286547,0.845117,1.14263,0.12393
2.88571,0.288571,0.85042,1.14872,0.123036
2.90603,0.290603,0.855353,1.15481,0.122571
2.92574,0.292574,0.860142,1.16071,0.122108
2.94555,0.294555,0.8655,1.16662,0.121045
2.96544,0.296544,0.870368,1.17254,0.120532
2.98544,0.298544,0.876334,1.17847,0.118872
